״̬,ACTION,,,,,,,,,,,,,,GOTO,,,,,,
,Semicolon,id,int,return,+,-,*,/,=,(,),",",IntConst,$,S_list,S,D,DeclList,E,A,B
0,,shift 4,shift 5,shift 6,,,,,,,,,,,1,2,3,,,,
1,,,,,,,,,,,,,,accept,,,,,,,
2,shift 7,,,,,,,,,,,,,,,,,,,,
3,,shift 9,,,,,,,,,,,,,,,,8,,,
4,,,,,,,,,shift 10,,,,,,,,,,,,
5,,reduce D -> int,,,,,,,,,,,,,,,,,,,
6,,shift 14,,,,,,,,shift 15,,,shift 16,,,,,,11,12,13
7,,shift 4,shift 5,shift 6,,,,,,,,,,reduce S_list -> S Semicolon,17,2,3,,,,
8,reduce S -> D DeclList,,,,,,,,,,,,,,,,,,,,
9,reduce DeclList -> id,,,,,,,,,,,shift 18,,,,,,,,,
10,,shift 14,,,,,,,,shift 15,,,shift 16,,,,,,19,12,13
11,reduce S -> return E,,,,shift 20,shift 21,,,,,,,,,,,,,,,
12,reduce E -> A,,,,reduce E -> A,reduce E -> A,shift 22,shift 23,,,,,,,,,,,,,
13,reduce A -> B,,,,reduce A -> B,reduce A -> B,reduce A -> B,reduce A -> B,,,,,,,,,,,,,
14,reduce B -> id,,,,reduce B -> id,reduce B -> id,reduce B -> id,reduce B -> id,,,,,,,,,,,,,
15,,shift 27,,,,,,,,shift 28,,,shift 29,,,,,,24,25,26
16,reduce B -> IntConst,,,,reduce B -> IntConst,reduce B -> IntConst,reduce B -> IntConst,reduce B -> IntConst,,,,,,,,,,,,,
17,,,,,,,,,,,,,,reduce S_list -> S Semicolon S_list,,,,,,,
18,,shift 9,,,,,,,,,,,,,,,,30,,,
19,reduce S -> id = E,,,,shift 20,shift 21,,,,,,,,,,,,,,,
20,,shift 14,,,,,,,,shift 15,,,shift 16,,,,,,,31,13
21,,shift 14,,,,,,,,shift 15,,,shift 16,,,,,,,32,13
22,,shift 14,,,,,,,,shift 15,,,shift 16,,,,,,,,33
23,,shift 14,,,,,,,,shift 15,,,shift 16,,,,,,,,34
24,,,,,shift 35,shift 36,,,,,shift 37,,,,,,,,,,
25,,,,,reduce E -> A,reduce E -> A,shift 38,shift 39,,,reduce E -> A,,,,,,,,,,
26,,,,,reduce A -> B,reduce A -> B,reduce A -> B,reduce A -> B,,,reduce A -> B,,,,,,,,,,
27,,,,,reduce B -> id,reduce B -> id,reduce B -> id,reduce B -> id,,,reduce B -> id,,,,,,,,,,
28,,shift 27,,,,,,,,shift 28,,,shift 29,,,,,,40,25,26
29,,,,,reduce B -> IntConst,reduce B -> IntConst,reduce B -> IntConst,reduce B -> IntConst,,,reduce B -> IntConst,,,,,,,,,,
30,"reduce DeclList -> id , DeclList",,,,,,,,,,,,,,,,,,,,
31,reduce E -> E + A,,,,reduce E -> E + A,reduce E -> E + A,shift 22,shift 23,,,,,,,,,,,,,
32,reduce E -> E - A,,,,reduce E -> E - A,reduce E -> E - A,shift 22,shift 23,,,,,,,,,,,,,
33,reduce A -> A * B,,,,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,,,,,,,,,,,,,
34,reduce A -> A / B,,,,reduce A -> A / B,reduce A -> A / B,reduce A -> A / B,reduce A -> A / B,,,,,,,,,,,,,
35,,shift 27,,,,,,,,shift 28,,,shift 29,,,,,,,41,26
36,,shift 27,,,,,,,,shift 28,,,shift 29,,,,,,,42,26
37,reduce B -> ( E ),,,,reduce B -> ( E ),reduce B -> ( E ),reduce B -> ( E ),reduce B -> ( E ),,,,,,,,,,,,,
38,,shift 27,,,,,,,,shift 28,,,shift 29,,,,,,,,43
39,,shift 27,,,,,,,,shift 28,,,shift 29,,,,,,,,44
40,,,,,shift 35,shift 36,,,,,shift 45,,,,,,,,,,
41,,,,,reduce E -> E + A,reduce E -> E + A,shift 38,shift 39,,,reduce E -> E + A,,,,,,,,,,
42,,,,,reduce E -> E - A,reduce E -> E - A,shift 38,shift 39,,,reduce E -> E - A,,,,,,,,,,
43,,,,,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,reduce A -> A * B,,,reduce A -> A * B,,,,,,,,,,
44,,,,,reduce A -> A / B,reduce A -> A / B,reduce A -> A / B,reduce A -> A / B,,,reduce A -> A / B,,,,,,,,,,
45,,,,,reduce B -> ( E ),reduce B -> ( E ),reduce B -> ( E ),reduce B -> ( E ),,,reduce B -> ( E ),,,,,,,,,,
